NOT ORIGINAL IUE PROJECT DATA PRODUCT
SWP42389LOWLARGE
HD  197481
20:42:04
-31:31:05
48
NO-TRAIL
X-OFFSETS
4079.356
04/09/91
02:56:33
247
6.49
21/09/95
GSFC
2448503.62260
45
20
1150.59 -1.12e-14  7.30e-14    -2    -3     0
1152.27 -4.97e-14  6.85e-14    -2   -14     0
1153.94 -3.17e-14  6.40e-14    -1   -10     0
1155.62  3.57e-14  6.19e-14    -1    11     0
1157.30  9.83e-15  5.69e-14     0     3     0
1158.97  1.35e-14  5.26e-14     0     5     0
1160.65 -2.65e-14  4.82e-14     0   -11     0
1162.33  5.55e-14  5.55e-14     0    24     0
1164.00  7.62e-14  4.38e-14     1    36     0
1165.68  2.88e-15  3.62e-14     1     1     0
1167.35  4.29e-14  3.48e-14     2    25     0
1169.03 -1.32e-14  3.13e-14     2    -8     0
1170.71  5.89e-15  2.90e-14     2     3     0
1172.38  2.29e-14  2.77e-14     3    16     0
1174.06  6.10e-14  2.76e-14     3    47     0
1175.74  3.85e-14  3.45e-14     4    31     0
1177.41  6.97e-14  2.58e-14     4    61     0
1179.09  5.50e-15  2.63e-14     5     5     0
1180.77  4.77e-14  2.00e-14     5    49     0
1182.44  2.89e-14  1.84e-14     6    31     0
1184.12  7.35e-15  1.67e-14     6     8     0
1185.79  1.23e-14  1.61e-14     6    14     0
1187.47  9.72e-15  1.52e-14     7    12     0
1189.15  5.01e-14  1.59e-14     7    65     0
1190.82  1.15e-14  1.33e-14     8    16     0
1192.50  2.72e-14  1.32e-14     8    40     0
1194.18  2.19e-14  1.28e-14     9    34     0
1195.85  3.59e-14  1.25e-14     9    59     0
1197.53  1.28e-14  1.23e-14    10    21     0
1199.21  1.25e-14  1.13e-14    10    22     0
1200.88  1.18e-14  1.13e-14    10    21     0
1202.56  3.27e-14  1.07e-14    11    62     0
1204.23  5.83e-14  1.12e-14    11   115     0
1205.91  7.67e-14  1.62e-14    12   157     0
1207.59  6.56e-14  1.72e-14    12   138     0
1209.26  1.47e-13  2.61e-14    13   319     0
1210.94  1.84e-13  1.92e-14    13   415     0
1212.62  3.14e-13  3.08e-14    14   728     0
1214.29  5.88e-13  7.10e-14    14  1398     0
